pid,w6_q21a_year,grp,duration
2017035,1994,time_from_rel_to_cohab,0.41662598
2017035,1994,time_married_hardcoded,-8.25
2025287,1990,time_from_met_to_rel,0.16674805
2025287,1990,time_from_rel_to_cohab,0.33325195
2025287,1990,time_married_hardcoded,-8.25
2032385,1982,time_from_met_to_rel,2
2032385,1982,time_from_rel_to_cohab,0.33337402
2032385,1982,time_married_hardcoded,-8.25
2043853,1976,time_from_met_to_rel,0
2043853,1976,time_from_rel_to_cohab,0.91674805
2043853,1976,time_married_hardcoded,-8.25
2044441,1982,time_from_met_to_rel,0
2044441,1982,time_from_rel_to_cohab,0.916626
2044441,1982,time_married_hardcoded,-8.25
2044441,1982,time_from_met_to_rel,0
2044441,1982,time_from_rel_to_cohab,0.916626
2044441,1982,time_married_hardcoded,-8.25
2065091,2012,time_from_met_to_rel,0
2065091,2012,time_from_rel_to_cohab,1.5
2065091,2012,time_married_hardcoded,-8.25
2065295,2008,time_from_met_to_rel,1.583252
2065295,2008,time_from_rel_to_cohab,3.166748
2065295,2008,time_married_hardcoded,-8.25
2075775,1965,time_from_met_to_rel,0.33337402
2075775,1965,time_from_rel_to_cohab,2.083252
2075775,1965,time_married_hardcoded,-8.25
2076395,2015,time_from_met_to_rel,0.41662598
2076395,2015,time_from_rel_to_cohab,0
2076395,2015,time_married_hardcoded,-8.25
2079077,1971,time_from_met_to_rel,0
2079077,1971,time_from_rel_to_cohab,7.333374
2079077,1971,time_married_hardcoded,-8.25
2088603,1976,time_from_met_to_rel,0.25
2088603,1976,time_from_rel_to_cohab,0.75
2088603,1976,time_married_hardcoded,-8.25
2091281,2003,time_from_met_to_rel,0.08337402
2091281,2003,time_from_rel_to_cohab,3.166626
2091281,2003,time_married_hardcoded,-8.25
2102527,1989,time_from_met_to_rel,1.333252
2102527,1989,time_from_rel_to_cohab,11.916748
2102527,1989,time_married_hardcoded,-8.25
2103721,1979,time_from_met_to_rel,0.41662598
2103721,1979,time_from_rel_to_cohab,8.083374
2103721,1979,time_married_hardcoded,-8.25
2111263,1960,time_from_met_to_rel,5.166626
2111263,1960,time_from_rel_to_cohab,4.75
2111263,1960,time_married_hardcoded,-8.25
2111275,2000,time_from_met_to_rel,0.08337402
2111275,2000,time_from_rel_to_cohab,0.41662598
2111275,2000,time_married_hardcoded,-8.25
2125001,1993,time_from_met_to_rel,8.166626
2125001,1993,time_from_rel_to_cohab,2
2125001,1993,time_married_hardcoded,-8.25
2136855,2011,time_from_met_to_rel,0
2136855,2011,time_from_rel_to_cohab,0.583374
2136855,2011,time_married_hardcoded,-8.25
2140901,2000,time_from_met_to_rel,1.833252
2140901,2000,time_from_rel_to_cohab,6.166748
2140901,2000,time_married_hardcoded,-8.25
2141839,2007,time_from_met_to_rel,0.16674805
2141839,2007,time_from_rel_to_cohab,0.25
2141839,2007,time_married_hardcoded,-8.25
2146471,2005,time_from_met_to_rel,0.16662598
2146471,2005,time_from_rel_to_cohab,9
2146471,2005,time_married_hardcoded,-8.25
2147861,2008,time_from_met_to_rel,0.25
2147861,2008,time_from_rel_to_cohab,0
2147861,2008,time_married_hardcoded,-8.25
2150647,1998,time_from_met_to_rel,0
2150647,1998,time_from_rel_to_cohab,2.416626
2150647,1998,time_married_hardcoded,-8.25
2150647,1998,time_from_met_to_rel,0
2150647,1998,time_from_rel_to_cohab,2.416626
2150647,1998,time_married_hardcoded,-8.25
2154415,2007,time_from_met_to_rel,0.08325195
2154415,2007,time_from_rel_to_cohab,5.916748
2154415,2007,time_married_hardcoded,-8.25
2154761,1982,time_from_met_to_rel,0
2154761,1982,time_from_rel_to_cohab,0
2154761,1982,time_married_hardcoded,-8.25
2157559,2004,time_from_met_to_rel,1
2157559,2004,time_from_rel_to_cohab,0.75
2157559,2004,time_married_hardcoded,-8.25
2168137,1980,time_from_met_to_rel,0.08337402
2168137,1980,time_from_rel_to_cohab,3.916626
2168137,1980,time_married_hardcoded,-8.25
2174899,2005,time_from_met_to_rel,0
2174899,2005,time_from_rel_to_cohab,0.08337402
2174899,2005,time_married_hardcoded,-8.25
2183173,1999,time_from_met_to_rel,0
2183173,1999,time_from_rel_to_cohab,0.5
2183173,1999,time_married_hardcoded,-8.25
2183327,2005,time_from_met_to_rel,0.666626
2183327,2005,time_from_rel_to_cohab,4.083374
2183327,2005,time_married_hardcoded,-8.25
2185855,2009,time_from_met_to_rel,0
2185855,2009,time_from_rel_to_cohab,0.5
2185855,2009,time_married_hardcoded,-8.25
2196777,2008,time_from_met_to_rel,0.08337402
2196777,2008,time_from_rel_to_cohab,0.666626
2196777,2008,time_married_hardcoded,-8.25
2205751,1978,time_from_met_to_rel,0.25
2205751,1978,time_from_rel_to_cohab,12.416748
2205751,1978,time_married_hardcoded,-8.25
2207131,1987,time_from_met_to_rel,0.25
2207131,1987,time_from_rel_to_cohab,0.583374
2207131,1987,time_married_hardcoded,-8.25
2207815,1991,time_from_met_to_rel,0.08325195
2207815,1991,time_from_rel_to_cohab,0
2207815,1991,time_married_hardcoded,-8.25
2209047,2009,time_from_met_to_rel,0
2209047,2009,time_from_rel_to_cohab,1.416748
2209047,2009,time_married_hardcoded,-8.25
2209047,2009,time_from_met_to_rel,0
2209047,2009,time_from_rel_to_cohab,1.416748
2209047,2009,time_married_hardcoded,-8.25
2211921,2002,time_from_met_to_rel,0.33337402
2211921,2002,time_from_rel_to_cohab,0.33337402
2211921,2002,time_married_hardcoded,-8.25
2223059,2010,time_from_met_to_rel,3.083374
2223059,2010,time_from_rel_to_cohab,1.333252
2223059,2010,time_married_hardcoded,-8.25
2225427,1962,time_from_met_to_rel,0.08337402
2225427,1962,time_from_rel_to_cohab,0.33337402
2225427,1962,time_married_hardcoded,-8.25
2227011,1993,time_from_met_to_rel,0
2227011,1993,time_from_rel_to_cohab,0
2227011,1993,time_married_hardcoded,-8.25
2235583,1992,time_from_met_to_rel,1.166626
2235583,1992,time_from_rel_to_cohab,1.25
2235583,1992,time_married_hardcoded,-8.25
2248415,2008,time_from_met_to_rel,1.5
2248415,2008,time_from_rel_to_cohab,2.166748
2248415,2008,time_married_hardcoded,-8.25
2248415,2008,time_from_met_to_rel,1.5
2248415,2008,time_from_rel_to_cohab,2.166748
2248415,2008,time_married_hardcoded,-8.25
2256865,2005,time_from_met_to_rel,0
2256865,2005,time_from_rel_to_cohab,0.16674805
2256865,2005,time_married_hardcoded,-8.25
2262837,2011,time_from_met_to_rel,0.16674805
2262837,2011,time_from_rel_to_cohab,3.666626
2262837,2011,time_married_hardcoded,-8.25
2264971,1996,time_from_met_to_rel,0.41662598
2264971,1996,time_from_rel_to_cohab,1.833374
2264971,1996,time_married_hardcoded,-8.25
2279685,1979,time_from_met_to_rel,0.16674805
2279685,1979,time_from_rel_to_cohab,2.25
2279685,1979,time_married_hardcoded,-8.25
2281739,1981,time_from_met_to_rel,2.166626
2281739,1981,time_from_rel_to_cohab,0.16662598
2281739,1981,time_married_hardcoded,-8.25
2296791,1987,time_from_met_to_rel,0
2296791,1987,time_from_rel_to_cohab,2
2296791,1987,time_married_hardcoded,-8.25
2299329,2001,time_from_met_to_rel,0.16662598
2299329,2001,time_from_rel_to_cohab,1.583374
2299329,2001,time_married_hardcoded,-8.25
2299825,2002,time_from_met_to_rel,0.16662598
2299825,2002,time_from_rel_to_cohab,1.333374
2299825,2002,time_married_hardcoded,-8.25
2308025,2005,time_from_met_to_rel,1.166626
2308025,2005,time_from_rel_to_cohab,5.083374
2308025,2005,time_married_hardcoded,-8.25
2310843,2010,time_from_met_to_rel,0
2310843,2010,time_from_rel_to_cohab,1
2310843,2010,time_married_hardcoded,-8.25
2310843,2010,time_from_met_to_rel,0
2310843,2010,time_from_rel_to_cohab,1
2310843,2010,time_married_hardcoded,-8.25
2312649,2007,time_from_met_to_rel,0
2312649,2007,time_from_rel_to_cohab,1.333374
2312649,2007,time_married_hardcoded,-8.25
2312649,2007,time_from_met_to_rel,0
2312649,2007,time_from_rel_to_cohab,1.333374
2312649,2007,time_married_hardcoded,-8.25
2317233,1962,time_from_met_to_rel,8.75
2317233,1962,time_from_rel_to_cohab,1
2317233,1962,time_married_hardcoded,-8.25
2325909,1991,time_from_met_to_rel,0
2325909,1991,time_from_rel_to_cohab,0.25
2325909,1991,time_married_hardcoded,-8.25
2330201,2016,time_from_met_to_rel,0
2330201,2016,time_from_rel_to_cohab,0.833374
2330201,2016,time_married_hardcoded,-8.25
2332997,1971,time_from_met_to_rel,0
2332997,1971,time_from_rel_to_cohab,0.83325195
2332997,1971,time_married_hardcoded,-8.25
2334613,2016,time_from_met_to_rel,0.08337402
2334613,2016,time_from_rel_to_cohab,0.916626
2334613,2016,time_married_hardcoded,-8.25
2335945,1958,time_from_met_to_rel,11.083374
2335945,1958,time_from_rel_to_cohab,2.25
2335945,1958,time_married_hardcoded,-8.25
2337359,1998,time_from_met_to_rel,0
2337359,1998,time_from_rel_to_cohab,2.25
2337359,1998,time_married_hardcoded,-8.25
2340595,2016,time_from_met_to_rel,0
2340595,2016,time_from_rel_to_cohab,0.16662598
